comparison,update,level,subject,seed,difference,mean,median,sd
spectral_s1_vs_sw,normalized,run,3.0,1788.0,0.04069644067078626,,,
spectral_s1_vs_sw,normalized,run,3.0,3654.0,0.03898254140913271,,,
spectral_s1_vs_sw,normalized,run,3.0,6398.0,0.04103706927584416,,,
spectral_s1_vs_sw,normalized,run,8.0,1788.0,0.026649221749547425,,,
spectral_s1_vs_sw,normalized,run,8.0,3654.0,0.024995065113415205,,,
spectral_s1_vs_sw,normalized,run,8.0,6398.0,0.032148167518456394,,,
spectral_s1_vs_sw,normalized,subject_mean,1.0,,0.039835245929983075,,,
spectral_s1_vs_sw,normalized,subject_mean,3.0,,0.04023868378525438,,,
spectral_s1_vs_sw,normalized,subject_mean,8.0,,0.027930818127139673,,,
spectral_s1_vs_sw,normalized,grand,,,,0.036001582614125706,0.03898254140913271,0.006390692338687355
lpwp_q2_vs_spectral_s1,normalized,run,1.0,1788.0,-0.03777225970935327,,,
lpwp_q2_vs_spectral_s1,normalized,run,1.0,3654.0,-0.042500881191759765,,,
lpwp_q2_vs_spectral_s1,normalized,run,1.0,6398.0,-0.042709043747157005,,,
lpwp_q2_vs_spectral_s1,normalized,run,3.0,1788.0,-0.03610152607317163,,,
lpwp_q2_vs_spectral_s1,normalized,run,3.0,3654.0,-0.037982238821970826,,,
lpwp_q2_vs_spectral_s1,normalized,run,3.0,6398.0,-0.04065972168896248,,,
lpwp_q2_vs_spectral_s1,normalized,run,8.0,1788.0,-0.02742348791903304,,,
lpwp_q2_vs_spectral_s1,normalized,run,8.0,3654.0,-0.02133095378135652,,,
lpwp_q2_vs_spectral_s1,normalized,run,8.0,6398.0,-0.029491191394258154,,,
lpwp_q2_vs_spectral_s1,normalized,subject_mean,1.0,,-0.040994061549423345,,,
lpwp_q2_vs_spectral_s1,normalized,subject_mean,3.0,,-0.038247828861368315,,,
lpwp_q2_vs_spectral_s1,normalized,subject_mean,8.0,,-0.026081877698215905,,,
lpwp_q2_vs_spectral_s1,normalized,grand,,,,-0.035107922703002524,-0.03777225970935327,0.007416249574658454
lpwp_q4_vs_spectral_s1,normalized,run,1.0,1788.0,0.015158368384135645,,,
lpwp_q4_vs_spectral_s1,normalized,run,1.0,3654.0,0.010754528882323311,,,
lpwp_q4_vs_spectral_s1,normalized,run,1.0,6398.0,0.014178047743323985,,,
lpwp_q4_vs_spectral_s1,normalized,run,3.0,1788.0,0.024475110008574497,,,
lpwp_q4_vs_spectral_s1,normalized,run,3.0,3654.0,0.025434022483802332,,,
lpwp_q4_vs_spectral_s1,normalized,run,3.0,6398.0,0.01519084191414144,,,
lpwp_q4_vs_spectral_s1,normalized,run,8.0,1788.0,0.015343134523590596,,,
lpwp_q4_vs_spectral_s1,normalized,run,8.0,3654.0,0.018551478695319146,,,
lpwp_q4_vs_spectral_s1,normalized,run,8.0,6398.0,0.014251071764367351,,,
lpwp_q4_vs_spectral_s1,normalized,subject_mean,1.0,,0.013363648336594314,,,
lpwp_q4_vs_spectral_s1,normalized,subject_mean,3.0,,0.021699991468839424,,,
lpwp_q4_vs_spectral_s1,normalized,subject_mean,8.0,,0.016048561661092364,,,
lpwp_q4_vs_spectral_s1,normalized,grand,,,,0.017037400488842034,0.01519084191414144,0.004916048915681161
full_vs_stop_b1,raw_rooted,run,1.0,1788.0,0.00015860575982573621,,,
full_vs_stop_b1,raw_rooted,run,1.0,3654.0,-0.0020033365684518634,,,
full_vs_stop_b1,raw_rooted,run,1.0,6398.0,-0.0003356963506750965,,,
full_vs_stop_b1,raw_rooted,run,3.0,1788.0,-0.0033105830673990644,,,
full_vs_stop_b1,raw_rooted,run,3.0,3654.0,0.00019720030252212695,,,
full_vs_stop_b1,raw_rooted,run,3.0,6398.0,0.0013300744412846344,,,
full_vs_stop_b1,raw_rooted,run,8.0,1788.0,-0.0023213980613344676,,,
full_vs_stop_b1,raw_rooted,run,8.0,3654.0,0.0013945622685815895,,,
