method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_ess075,ess075,normalized,8,1788,500,3770.198922253088,6.535063775277908,6.558665821940763,6.527625164411316,6.542888070520821,0.0236020466628552,-0.0074386108665915,0.007824295242913,0.0310406575294468,0.0157777514199422,1.74238712786095,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,53.04301995784044
ebsw_full_ess075,ess075,normalized,1,3654,0,52.63046532793494,7.00240537723237,6.6316001290666495,6.697299093508179,6.50154001319382,-0.3708052481657207,-0.3051062837241911,-0.5008653640385505,-0.0656989644415295,0.1300601158728298,2.030652444878149,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,49.32779795490205
ebsw_full_ess075,ess075,normalized,1,3654,25,2808.571421797792,5.838380137648034,5.8216796089047484,5.793480522618027,5.782257403274755,-0.0167005287432857,-0.0448996150300073,-0.0561227343732788,0.0281990862867216,0.0394222056299931,2.071461499855673,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,50.37434003315866
ebsw_full_ess075,ess075,normalized,1,3654,50,3891.036358917252,5.684484697296292,5.708484306803806,5.670659733100599,5.67746276441826,0.0239996095075136,-0.0138249641956935,-0.0070219328780325,0.0378245737032072,0.0310215423855462,1.687178895445885,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,57.979627046734095
ebsw_full_ess075,ess075,normalized,1,3654,100,3780.2405703032055,5.51319069627261,5.493612249794214,5.4739687999329245,5.466586526602373,-0.0195784464783956,-0.0392218963396855,-0.0466041696702372,0.0196434498612898,0.0270257231918416,1.887555707599456,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,48.46093896776438
ebsw_full_ess075,ess075,normalized,1,3654,200,5001.96987963183,5.351431694713405,5.363425666109017,5.338741324106008,5.345695889092406,0.0119939713956123,-0.0126903706073964,-0.0057358056209988,0.0246843420030087,0.0177297770166111,1.6354760978019691,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,45.52883491851389
ebsw_full_ess075,ess075,normalized,1,3654,300,5053.394979532944,5.215751054293382,5.199993871410517,5.185052024109484,5.180903389536449,-0.015757182882865,-0.0306990301838983,-0.0348476647569331,0.0149418473010332,0.019090481874068,1.648355734920551,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,53.03460592404008
ebsw_full_ess075,ess075,normalized,1,3654,400,4548.467997200276,5.142448715676258,5.167834989396056,5.135309409532913,5.150342399755528,0.025386273719798,-0.0071393061433449,0.0078936840792707,0.0325255798631429,0.0174925896405273,1.762463021116299,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,47.24894813261926
ebsw_full_ess075,ess075,normalized,1,3654,500,4264.520256141793,5.066769705247946,5.077741920598243,5.047709709145589,5.055400277991296,0.0109722153502964,-0.0190599961023574,-0.0113694272566498,0.0300322114526538,0.0223416426069462,1.827096734721247,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b,50.235360162332654
ebsw_full_ess075,ess075,normalized,3,3654,0,26.579633670417586,10.198606317621376,9.547819711908916,9.728465975070474,9.375161390072323,-0.6507866057124616,-0.4701403425509021,-0.823444927549053,-0.1806462631615595,0.1726583218365913,1.995199651900288,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,53.00098494626582
