method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_b1,b1,normalized,3,3654,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992510630462,0.0020017522046436,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_b1,b1,normalized,3,3654,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992886690664,0.0020018575473732,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_b1,b1,normalized,3,3654,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992701063373,0.0020027147138439,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
ebsw_full_b1,b1,normalized,8,3654,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019580651604451,0.0024310752810263,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_b1,b1,normalized,8,3654,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019991178607574,0.002002865251386,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_b1,b1,normalized,8,3654,50,1.0,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.00199910436997,0.0020022193620031,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_b1,b1,normalized,8,3654,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992400026193,0.0020027438838698,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_b1,b1,normalized,8,3654,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992949784045,0.0020028238032333,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_b1,b1,normalized,8,3654,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992216677768,0.0020018583427322,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_b1,b1,normalized,8,3654,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.001999331586572,0.0020023359932845,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_b1,b1,normalized,8,3654,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993397312089,0.0020015898476753,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
ebsw_full_b1,b1,normalized,1,6398,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019818995353214,0.0021857172899871,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a
ebsw_full_b1,b1,normalized,1,6398,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992680383,0.0020020776044401,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f
ebsw_full_b1,b1,normalized,1,6398,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993946512495,0.0020020373407825,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357
ebsw_full_b1,b1,normalized,1,6398,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993781742544,0.0020014735234293,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9
ebsw_full_b1,b1,normalized,1,6398,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019994691960007,0.0020017407849147,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04
ebsw_full_b1,b1,normalized,1,6398,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993740566451,0.0020012480517864,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631
ebsw_full_b1,b1,normalized,1,6398,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019994574779882,0.0020018676258795,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d
ebsw_full_b1,b1,normalized,1,6398,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019994540745764,0.0020014622302868,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3
ebsw_full_b1,b1,normalized,3,6398,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019621197657967,0.002423383207201,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a
ebsw_full_b1,b1,normalized,3,6398,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019990142136652,0.0020045635681986,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f
ebsw_full_b1,b1,normalized,3,6398,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019990838493652,0.0020020034660722,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357
ebsw_full_b1,b1,normalized,3,6398,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019991716073784,0.0020018115811391,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9
ebsw_full_b1,b1,normalized,3,6398,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992442168175,0.0020021983637689,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04
ebsw_full_b1,b1,normalized,3,6398,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992386545219,0.0020029412620457,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631
ebsw_full_b1,b1,normalized,3,6398,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992699584293,0.0020021116276723,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d
ebsw_full_b1,b1,normalized,3,6398,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993452631325,0.0020014370554896,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3
ebsw_full_b1,b1,normalized,8,6398,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019558230877465,0.0024243115870704,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a
ebsw_full_b1,b1,normalized,8,6398,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019990693151193,0.0020025567824725,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f
ebsw_full_b1,b1,normalized,8,6398,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019991439774536,0.0020025166178386,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357
ebsw_full_b1,b1,normalized,8,6398,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992843586846,0.0020032424609054,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9
ebsw_full_b1,b1,normalized,8,6398,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.001999259400705,0.0020022932473479,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04
ebsw_full_b1,b1,normalized,8,6398,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992958035716,0.0020018333755961,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631
ebsw_full_b1,b1,normalized,8,6398,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992521120635,0.0020015349086121,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d
ebsw_full_b1,b1,normalized,8,6398,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993821978741,0.0020020870896755,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3
ebsw_full_bscale,bscale,normalized,1,1788,0,122.7769233819667,1.0,1.1771157182474574,0.64,0.0885578591237287,1.0885578591237288,-0.0003741290514509,0.1311863070560271,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
ebsw_full_bscale,bscale,normalized,1,1788,25,122.7769233819667,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.0019075963222868,0.002325848926482,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060
ebsw_full_bscale,bscale,normalized,1,1788,50,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019136049002105,0.002253680397154,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed
ebsw_full_bscale,bscale,normalized,1,1788,100,122.7769233819667,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.00193233110365,0.0021612918078611,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361
ebsw_full_bscale,bscale,normalized,1,1788,200,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019308212728558,0.0021975636544677,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc
ebsw_full_bscale,bscale,normalized,1,1788,300,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019350283913586,0.0022428798679763,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740
ebsw_full_bscale,bscale,normalized,1,1788,400,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019284603973255,0.0022137604737342,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97
ebsw_full_bscale,bscale,normalized,1,1788,500,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019302605796956,0.0022011112161981,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836
ebsw_full_bscale,bscale,normalized,3,1788,0,122.7769233819667,0.9999999999999998,2.167921577471475,0.996,0.5839607887357375,1.5839607887357372,-0.0233085635101944,1.416576514390653,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
ebsw_full_bscale,bscale,normalized,3,1788,25,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0014662356795143,0.0066171149117395,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060
ebsw_full_bscale,bscale,normalized,3,1788,50,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0018784246658178,0.0023334375589481,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed
ebsw_full_bscale,bscale,normalized,3,1788,100,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0018953080583663,0.0023690234380197,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361
ebsw_full_bscale,bscale,normalized,3,1788,200,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019053929857657,0.002212728205222,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc
ebsw_full_bscale,bscale,normalized,3,1788,300,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019102388501563,0.0022680072658376,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740
ebsw_full_bscale,bscale,normalized,3,1788,400,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019187695872296,0.0022693985363119,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97
ebsw_full_bscale,bscale,normalized,3,1788,500,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019150082191431,0.002220708447397,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836
ebsw_full_bscale,bscale,normalized,8,1788,0,122.7769233819667,0.9999999999999984,1.07934508036607,0.998,0.0396725401830354,1.0396725401830342,-0.011595355680867,1.0396725401830342,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
ebsw_full_bscale,bscale,normalized,8,1788,25,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0009414760598118,0.0592690760910859,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060
