q,L,repeat,method,estimate,own_metric_reference,error
16,100,8,entropic,0.36594313679310925,0.3521125831997691,0.013830553593340122
16,100,8,evar,0.5157132863493737,0.5168421624452488,-0.0011288760958750865
16,100,8,cvar,0.5617475887523686,0.5242524329003955,0.03749515585197316
16,100,8,sampled_max,0.7538500301325755,1.1472011535764581,-0.3933511234438827
16,100,9,sw,0.312768532580061,0.3315254891038292,-0.018756956523768187
16,100,9,ebsw_exp,0.33672049181292163,0.3764519859695811,-0.0397314941566595
16,100,9,power_ebsw,0.40307653184464975,0.46045034772148125,-0.05737381587683149
16,100,9,entropic,0.32414084231825924,0.3521125831997691,-0.027971740881509888
16,100,9,evar,0.45678334432566153,0.5168421624452488,-0.0600588181195873
16,100,9,cvar,0.467252975227846,0.5242524329003955,-0.05699945767254949
16,100,9,sampled_max,0.7369665841242032,1.1472011535764581,-0.4102345694522549
16,100,10,sw,0.3224082901275201,0.3315254891038292,-0.009117198976309082
16,100,10,ebsw_exp,0.3679447734975852,0.3764519859695811,-0.008507212471995929
16,100,10,power_ebsw,0.46476032822625735,0.46045034772148125,0.004309980504776101
16,100,10,entropic,0.34373200775524515,0.3521125831997691,-0.008380575444523974
16,100,10,evar,0.5029305702023406,0.5168421624452488,-0.013911592242908277
16,100,10,cvar,0.5240677505264909,0.5242524329003955,-0.00018468237390456554
16,100,10,sampled_max,0.7917341758378479,1.1472011535764581,-0.35546697773861025
16,100,11,sw,0.3439580883824189,0.3315254891038292,0.012432599278589751
16,100,11,ebsw_exp,0.37600189994158706,0.3764519859695811,-0.0004500860279940677
16,100,11,power_ebsw,0.4466271189801106,0.46045034772148125,-0.013823228741370652
16,100,11,entropic,0.3593770636099004,0.3521125831997691,0.00726448041013128
16,100,11,evar,0.49253029807185866,0.5168421624452488,-0.02431186437339017
16,100,11,cvar,0.5198178721961805,0.5242524329003955,-0.004434560704214996
16,100,11,sampled_max,0.7257894366259713,1.1472011535764581,-0.42141171695048685
16,100,12,sw,0.3394987756250867,0.3315254891038292,0.007973286521257505
16,100,12,ebsw_exp,0.3857131595787897,0.3764519859695811,0.009261173609208584
16,100,12,power_ebsw,0.47625628795512215,0.46045034772148125,0.015805940233640903
16,100,12,entropic,0.3613912074941704,0.3521125831997691,0.009278624294401294
16,100,12,evar,0.514380673616003,0.5168421624452488,-0.002461488829245795
16,100,12,cvar,0.5466508977800164,0.5242524329003955,0.02239846487962094
16,100,12,sampled_max,0.7880487096892593,1.1472011535764581,-0.3591524438871988
16,100,13,sw,0.3143080835330101,0.3315254891038292,-0.017217405570819078
16,100,13,ebsw_exp,0.35371732934810907,0.3764519859695811,-0.02273465662147206
16,100,13,power_ebsw,0.44166359066086275,0.46045034772148125,-0.018786757060618497
16,100,13,entropic,0.3325142058284063,0.3521125831997691,-0.01959837737136283
16,100,13,evar,0.491194443342041,0.5168421624452488,-0.025647719103207844
16,100,13,cvar,0.49446488613408174,0.5242524329003955,-0.029787546766313733
16,100,13,sampled_max,0.8199807429333131,1.1472011535764581,-0.327220410643145
16,100,14,sw,0.33866801998601853,0.3315254891038292,0.007142530882189357
16,100,14,ebsw_exp,0.3873684745657502,0.3764519859695811,0.01091648859616906
16,100,14,power_ebsw,0.47915213883667257,0.46045034772148125,0.018701791115191324
16,100,14,entropic,0.3615696551835676,0.3521125831997691,0.00945707198379847
16,100,14,evar,0.5182526346915232,0.5168421624452488,0.0014104722462743302
16,100,14,cvar,0.5423442865831479,0.5242524329003955,0.018091853682752457
16,100,14,sampled_max,0.7882498571547354,1.1472011535764581,-0.35895129642172274
16,100,15,sw,0.3223866938518399,0.3315254891038292,-0.009138795251989296
16,100,15,ebsw_exp,0.3480728250765234,0.3764519859695811,-0.028379160893057753
16,100,15,power_ebsw,0.421217035575414,0.46045034772148125,-0.039233312146067234
16,100,15,entropic,0.33498164446291484,0.3521125831997691,-0.017130938736854284
16,100,15,evar,0.45500343699129714,0.5168421624452488,-0.06183872545395169
16,100,15,cvar,0.5043169796653003,0.5242524329003955,-0.019935453235095157
