method,sampling,aggregation,update,subject,seed,threshold_relative_lew,required_reduction_pct,reached,first_reach_epoch,first_reach_optimization_ms,first_reach_total_projection_count
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,3654,0.95,5.000000000000004,True,2.0,4.182640463113785,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,3654,0.9,9.999999999999998,True,3.0,5.956423236057162,1500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,3654,0.8,19.999999999999996,True,7.0,13.762880582362412,3500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,3654,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,3654,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,6398,0.95,5.000000000000004,True,2.0,173.67582605220375,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,6398,0.9,9.999999999999998,True,4.0,178.2982535660267,2000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,6398,0.8,19.999999999999996,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,6398,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,1,6398,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0.95,5.000000000000004,True,2.0,4.968852270394564,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0.9,9.999999999999998,True,4.0,9.63204400613904,2000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0.8,19.999999999999996,True,10.0,20.11154731735587,5000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0.6,40.0,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,6398,0.95,5.000000000000004,True,2.0,4.122743848711252,1000.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,6398,0.9,9.999999999999998,True,3.0,5.847202846780419,1500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,6398,0.8,19.999999999999996,True,7.0,12.644301867112516,3500.0
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,6398,0.7,30.000000000000004,False,,,
fixed_uniform_normalized_power,fixed,uniform,normalized_power,8,6398,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,1788,0.95,5.000000000000004,True,3.0,5.2725577261298895,1500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,1788,0.9,9.999999999999998,True,9.0,17.573525430634618,4500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,1788,0.8,19.999999999999996,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,1788,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,1788,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,1788,0.95,5.000000000000004,True,2.0,3.6581733729690313,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,1788,0.9,9.999999999999998,True,5.0,8.638206869363785,2500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,1788,0.8,19.999999999999996,True,42.0,68.14399897120893,21000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,1788,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,1788,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0.95,5.000000000000004,True,2.0,4.3978828471153975,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0.9,9.999999999999998,True,4.0,8.262200513854623,2000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0.8,19.999999999999996,True,14.0,28.257607016712427,7000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,3654,0.95,5.000000000000004,True,3.0,6.101038539782167,1500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,3654,0.9,9.999999999999998,True,9.0,16.067286720499396,4500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,3654,0.8,19.999999999999996,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,3654,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,3654,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,3654,0.95,5.000000000000004,True,2.0,4.947021370753646,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,3654,0.9,9.999999999999998,True,4.0,9.237000020220876,2000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,3654,0.8,19.999999999999996,True,32.0,57.18610086478293,16000.0
