dataset,phase,control,method,subject,seed,epoch,N_proj,rank_spearman_t_tm1,top5_overlap_t_tm1,top10_overlap_t_tm1,fraction_ever_top5,fraction_ever_top10,effective_N,weight_entropy,bank_hash
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,65,500,0.9789242676970707,1.0,1.0,0.07,0.128,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,66,500,0.9803931695726783,1.0,0.9,0.07,0.13,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,67,500,0.9821124404497618,1.0,0.9,0.07,0.13,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,68,500,0.984624386497546,1.0,1.0,0.07,0.13,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,69,500,0.9837765111060445,1.0,1.0,0.07,0.13,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,70,500,0.987064908259633,1.0,1.0,0.07,0.13,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,71,500,0.9884807219228877,1.0,0.9,0.07,0.132,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,72,500,0.9897420709682839,1.0,1.0,0.07,0.132,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,73,500,0.990559130236521,1.0,1.0,0.07,0.132,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,74,500,0.9914216936867748,1.0,0.9,0.07,0.132,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,75,500,0.9920480001920008,1.0,1.0,0.07,0.132,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,76,500,0.9926486745946984,1.0,0.9,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,77,500,0.9929044196176785,1.0,1.0,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,78,500,0.9932079728318913,1.0,1.0,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,79,500,0.9938763275053101,1.0,1.0,0.07,0.134,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,80,500,0.9944260257041028,1.0,1.0,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,81,500,0.9947188268753075,1.0,1.0,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,82,500,0.9950215160860644,1.0,1.0,0.07,0.134,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,83,500,0.9954591818367273,1.0,1.0,0.07,0.134,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,84,500,0.9956814227256909,1.0,1.0,0.07,0.134,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,85,500,0.9955702542810171,0.8,1.0,0.07200000000000001,0.134,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
